"DEJAVNOST","2010 CO2 (Gg)","2010 N2O (Mg)","2010 CH4 (Mg)","2010 SF6 (Mg)","2011 CO2 (Gg)","2011 N2O (Mg)","2011 CH4 (Mg)","2011 SF6 (Mg)","2012 CO2 (Gg)","2012 N2O (Mg)","2012 CH4 (Mg)","2012 SF6 (Mg)","2013 CO2 (Gg)","2013 N2O (Mg)","2013 CH4 (Mg)","2013 SF6 (Mg)","2014 CO2 (Gg)","2014 N2O (Mg)","2014 CH4 (Mg)","2014 SF6 (Mg)","2015 CO2 (Gg)","2015 N2O (Mg)","2015 CH4 (Mg)","2015 SF6 (Mg)","2016 CO2 (Gg)","2016 N2O (Mg)","2016 CH4 (Mg)","2016 SF6 (Mg)","2017 CO2 (Gg)","2017 N2O (Mg)","2017 CH4 (Mg)","2017 SF6 (Mg)"
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",8.9,0.2,0.4,-,9.3,0.2,0.4,-,10.7,0.2,0.4,-,8.8,0.2,0.4,-,7.7,0.2,0.3,-,7.7,0.3,0.4,-,7.9,0.3,0.2,-,8.0,0.3,0.2,-
"C27 Proizvodnja elektriènih naprav",51.7,0.6,1.5,-,49.5,0.7,1.4,-,66.5,1.0,1.7,-,49.6,0.6,1.3,-,52.5,0.7,1.3,-,47.1,0.7,1.1,-,46.2,0.9,1.1,-,48.7,1.1,1.5,-
"C28 Proizvodnja drugih strojev in naprav",72.8,1.2,2.4,-,75.1,1.5,2.3,-,71.0,1.6,2.2,-,71.6,1.7,2.3,-,62.9,1.7,1.9,-,65.7,1.8,2.2,-,67.9,2.1,2.1,-,68.8,2.4,2.0,-
"C29 Proizvodnja motornih vozil, prikolic in polprikolic",48.4,0.3,1.1,-,42.3,0.3,1.0,-,36.7,0.3,0.9,-,35.3,0.4,0.8,-,34.1,0.4,0.8,-,34.9,0.4,0.9,-,35.1,0.5,0.8,-,40.6,0.5,0.8,-
"C30 Proizvodnja drugih vozil in plovil",1.9,0.0,0.1,-,2.2,0.0,0.1,-,2.3,0.0,0.1,-,2.1,0.0,0.1,-,1.5,0.0,0.0,-,1.6,0.0,0.0,-,1.3,0.0,0.0,-,1.9,0.1,0.0,-
"C(31-32) Proizvodnja pohištva; druge raznovrstne predelovalne dejavnosti",49.2,4.2,23.9,-,56.3,2.9,13.1,-,53.2,2.4,7.9,-,52.7,2.4,7.6,-,50.8,2.5,7.2,-,51.8,2.5,6.6,-,59.0,2.6,4.1,-,55.9,3.2,3.8,-
"C33 Popravila in montaža strojev in naprav",52.7,1.4,2.3,-,57.8,1.7,2.3,-,57.4,1.8,2.1,-,50.4,1.7,1.9,-,51.9,1.9,1.8,-,55.3,2.2,2.0,-,57.3,2.5,1.5,-,69.4,3.0,1.6,-
"D Oskrba z elektrièno energijo, plinom in paro",6426.5,93.9,2019.9,17942.8,6467.4,96.1,1734.1,18181.4,6168.3,91.8,1651.4,15933.5,5855.1,88.9,1598.5,15492.3,4507.9,69.4,1426.7,14998.2,4627.7,73.4,1519.0,17492.6,5009.8,78.8,1609.6,17436.2,5011.1,80.1,1696.2,15811.6
"D35 Oskrba z elektrièno energijo, plinom in paro",6426.5,93.9,2019.9,17942.8,6467.4,96.1,1734.1,18181.4,6168.3,91.8,1651.4,15933.5,5855.1,88.9,1598.5,15492.3,4507.9,69.4,1426.7,14998.2,4627.7,73.4,1519.0,17492.6,5009.8,78.8,1609.6,17436.2,5011.1,80.1,1696.2,15811.6
"E Oskrba z vodo; ravnanje z odplakami in odpadki; saniranje okolja",95.8,138.6,23286.6,-,106.7,142.9,23399.8,-,105.2,142.3,22665.4,-,110.3,144.2,21497.7,-,114.5,145.6,20048.6,-,121.8,146.5,20318.7,-,118.4,147.5,20225.6,-,131.6,154.1,19408.2,-
