"Investicije za varstvo okolja po statistiènih regijah (1000 EUR), Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"INVESTICIJE";Investicije za varstvo okolja
"2017";"Gorenjska";"Upravljanje odpadnih voda";5782
"2017";"Primorsko-notranjska";"Varstvo zraka in klime";862
"2017";"Primorsko-notranjska";"Ravnanje z odpadki";220
"2017";"Primorsko-notranjska";"Upravljanje odpadnih voda";601
"2017";"Goriška";"Varstvo zraka in klime";1153
"2017";"Goriška";"Ravnanje z odpadki";1577
"2017";"Goriška";"Upravljanje odpadnih voda";3605
"2017";"Obalno-kraška";"Varstvo zraka in klime";825
"2017";"Obalno-kraška";"Ravnanje z odpadki";1095
"2017";"Obalno-kraška";"Upravljanje odpadnih voda";2417
